request_id,evaluation_id,run_id,item_begin,is_success,is_excluded,hard_failure,cycle_length_in_seconds,ml_model
KojdEtNlrnIp0puGIu1UKA==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:38:27.537038 UTC,TRUE,FALSE,FALSE,6.588,model_A
DecHxefEavFVVIS4mdDmXA==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:38:34.1259 UTC,FALSE,FALSE,TRUE,11.558,model_A
E7uLxQikkawwZFeWNMkxOg==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:38:56.964779 UTC,FALSE,FALSE,TRUE,6.909,model_A
1lcM2iGeKOOM9bKgpXiZUg==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:39:14.467117 UTC,FALSE,FALSE,TRUE,12.774,model_A
G+z55xMbvwM3oyDhDGRNqw==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:39:33.89777 UTC,FALSE,FALSE,TRUE,7.85,model_A
MxLs1f2T7kculjHlpFqXIA==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:39:56.979542 UTC,FALSE,FALSE,TRUE,6.953,model_A
eg3N9kZMm2uNpzxkcgHTMg==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:40:10.568653 UTC,TRUE,FALSE,FALSE,6.571,model_A
KKrSWMZ9S9OMDG4il5EK1g==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:40:17.140256 UTC,FALSE,FALSE,TRUE,5.483,model_A
DCYR6P6G5j26oDpKXk3k2A==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:40:29.234363 UTC,TRUE,FALSE,FALSE,5.154,model_A
hNX8VezazTqY1RRIzggV6A==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:40:34.388689 UTC,TRUE,FALSE,FALSE,6.979,model_A
WXTKJ1EgfYvDQEqIzrkEEw==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:40:41.368213 UTC,TRUE,FALSE,FALSE,5.312,model_A
hCFVRCFCNd5+bVYZo5+90w==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:40:46.680525 UTC,TRUE,FALSE,FALSE,4.508,model_A
cwlqQ2TylRy4iJxtZr1v9w==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:40:51.188528 UTC,TRUE,FALSE,FALSE,5.534,model_A
fPqVR93RLScNUV0Eg3k6AQ==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:40:56.723491 UTC,TRUE,FALSE,FALSE,5.618,model_A
K9J3M5uw6MJx1BAJuAcMmg==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:41:02.341709 UTC,TRUE,FALSE,FALSE,6.067,model_A
124di+kt+BZfCQlIedB8eA==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:41:08.40888 UTC,TRUE,FALSE,FALSE,5.709,model_A
yhvFczIMiuh5HYVnHtio7g==,6004,20211124-173803-DlKpjRo7,2021-11-24 17:41:14.118005 UTC,FALSE,TRUE,FALSE,0.717,model_A
xJTxI7dbrrUNttHHANTHDA==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:24:23.056585 UTC,TRUE,FALSE,FALSE,6.836,model_A
yc6hDjwS/asDGZh0ukaESA==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:24:29.893152 UTC,TRUE,FALSE,FALSE,4.049,model_A
6d5Ar7EKmtzU7f37molsCQ==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:24:33.94276 UTC,TRUE,FALSE,FALSE,9.605,model_A
xCdMC4nlYqFUyBc3XIThpA==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:24:43.548375 UTC,TRUE,FALSE,FALSE,4.473,model_A
ipaeI6S0CgFveCgOmScewg==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:24:48.021946 UTC,TRUE,FALSE,FALSE,4.472,model_A
AxEBKOM9MPkA7gabMpSLLA==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:24:52.494191 UTC,TRUE,FALSE,FALSE,4.303,model_A
+32DMt07VqZv2TtFJa4n1Q==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:24:56.797688 UTC,TRUE,FALSE,FALSE,9.456,model_A
8a8FxOeDi2xOcatbbxySOA==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:25:06.254434 UTC,TRUE,FALSE,FALSE,4.797,model_A
fxzdMxMmh5/xBvGEE6//Gg==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:25:11.051845 UTC,TRUE,FALSE,FALSE,4.809,model_A
BxrGmrTSn6qBbZijBmFa7w==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:25:15.861322 UTC,TRUE,FALSE,FALSE,6.194,model_A
VffYoDMSdjC2L2cesSP79w==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:25:22.055357 UTC,FALSE,FALSE,TRUE,7.588,model_A
/NcwM1TNgyVKAZIlg5q7pw==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:25:38.201847 UTC,TRUE,FALSE,FALSE,11.508,model_A
Dwbo1h7WaOWuiBUyHsztTw==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:25:49.710414 UTC,TRUE,FALSE,FALSE,5.234,model_A
quk/aIrBWY7uUPxzF2FgnA==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:25:54.944539 UTC,TRUE,FALSE,FALSE,9.671,model_A
PuQirhnwP35n6w6k58eBXw==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:26:04.616367 UTC,TRUE,FALSE,FALSE,5.385,model_A
uDdM9gj4kvwqAm2pN3Z0Zw==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:26:10.00208 UTC,TRUE,FALSE,FALSE,4.857,model_A
0u8F6MQ84x8YY1xQliSXaA==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:26:14.859706 UTC,TRUE,FALSE,FALSE,4.94,model_A
D9KeH8WGivQwTk/hddaijQ==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:26:19.800549 UTC,TRUE,FALSE,FALSE,6.107,model_A
9rvsxSWjA+siT3+/C5bbQw==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:26:25.908044 UTC,TRUE,FALSE,FALSE,6.491,model_A
XeNfaRW361mLxykSkWpxSg==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:26:32.399123 UTC,TRUE,FALSE,FALSE,8.945,model_A
+Bje/qxj7u8AUTNa32TX6w==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:26:41.344392 UTC,TRUE,FALSE,FALSE,22.077,model_A
i/KQpq8lhOqFTWFyVRYmqA==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:27:03.421992 UTC,TRUE,FALSE,FALSE,5.242,model_A
29bFaFdBbR36je/W4s0w1w==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:27:08.664347 UTC,TRUE,FALSE,FALSE,4.738,model_A
3jLUSt9hDzOYRC8tWBvtdw==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:27:13.403147 UTC,TRUE,FALSE,FALSE,4.944,model_A
Sqjy41PI/lJJip2wcQKtuA==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:27:18.347993 UTC,TRUE,FALSE,FALSE,6.463,model_A
gPq0/r4j8BgMQ5g0S+E4cw==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:27:24.811624 UTC,TRUE,FALSE,FALSE,5.097,model_A
WsmgmLeMvIDD+PWTCoxf/g==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:27:29.909547 UTC,TRUE,FALSE,FALSE,5.04,model_A
HeBcql7zX4FCzlqw9mx9xw==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:27:34.949752 UTC,TRUE,FALSE,FALSE,4.647,model_A
NWh0R7getXMFXEk7qS9UYw==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:27:39.597746 UTC,TRUE,FALSE,FALSE,6.694,model_A
r14Gav7zwl8Ie9L1YwUYew==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:27:46.292205 UTC,TRUE,FALSE,FALSE,4.708,model_A
i1joriKjLmdWE+o42wqF2g==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:27:51.000472 UTC,TRUE,FALSE,FALSE,4.903,model_A
bVwJuTKhJG1LHzuuFBwThw==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:27:55.903476 UTC,TRUE,FALSE,FALSE,4.794,model_A
Ay+7U93tj0NCAu3Lh0FFLg==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:28:00.697876 UTC,TRUE,FALSE,FALSE,5.099,model_A
F1P4Zd9dfokpptHNTrTGBw==,6025,20211124-232402-AKOKt7ct,2021-11-24 23:28:05.797745 UTC,FALSE,TRUE,FALSE,0.697,model_A
